bhag,header,section_number,text
भाग–२,११.,(७),यस धारामा अन्त्यत्र जुनसुकै कुरा लेजखएको भए िापमन विदेशी नागररकसँग  वििाि गरेकी नेपाली मविला नागररकबाट  जजन्त्मएको व्यजक्तको िकमा मनज नेपालमा नै www.lawcommission.gov.np   6   स्थायी बसोबास गरेको र मनजले विदेशी मुलुकको नागररकिा  प्राप्त गरेको रिेनछ भने  मनजले संघीय कानून बमोजजम नेपालको अंगीकृि नागररकिा  प्राप्त गनव सक्नेछ ।  िर नागररकिा  प्राप्त गदावका बखि मनजका आमा र बाबु दुिै नेपाली नागररक  रिेछन् भने नेपालमा जन्त्मेको त्यस्िो व्यजक्तले िंशजको आधारमा नेपालको नागररकिा   प्राप्त गनव सक्नेछ ।
भाग–२,११.,(८),यस धारामा लेजखएदेजख बािेक नेपाल सरकारले संघीय कानून बमोजजम  नेपालको अंगीकृि नागररकिा  प्रदान गनव सक्नेछ ।
भाग–२,११.,(९),नेपाल सरकारले संघीय कानून बमोजजम नेपालको सम्मानाथव नागररकिा   प्रदान गनव सक्नेछ ।
भाग–२,११.,(१०),नेपालमभत्र गामभने गरी कुनै क्षेत्र प्राप्त भएमा त्यस्िो क्षेत्रमभत्र बसोबास  भएको व्यजक्त संघीय कानूनको अधीनमा रिी नेपालको नागररक िुनेछ ।
भाग–२,१२.,,िंशीय आधार िथा लैंमगक पविचान सवििको नागररकिाः  यो संविधान बमोजजम िंशजको  आधारमा नेपालको नागररकिा  प्राप्त गने व्यजक्तले मनजको आमा िा बाबुको नामबाट  लैंमगक पविचान सवििको नेपालको नागररकिाको  प्रमाणपत्र पाउन सक्नेछ ।
भाग–२,१३.,,"नागररकिाको  प्रामप्त, पुनःप्रामप्त र समामप्तः नागररकिाको  प्रामप्त, पुनःप्रामप्त र समामप्त सम्बन्त्धी  अन्त्य व्यिस्था संघीय कानून बमोजजम िुनेछ ।"
भाग–२,१४.,,"गैरआिासीय नेपाली नागररकिा  प्रदान गनव सवकनेः विदेशी मुलुकको नागररकिा प्राप्त  गरेको दजक्षण एजशयाली क्षेत्रीय सियोग संगठनको सदस्य राि बािेकका देशमा बसोबास  गरेको सामबकमा िंशजको िा जन्त्मको आधारमा मनज िा मनजको बाबु िा आमा, बाजे िा  बज्यै नेपालको नागररक रिी पमछ विदेशी मुलुकको नागररकिा  प्राप्त गरेको व्यजक्तलाई   संघीय कानून बमोजजम आमथवक , सामाजजक र सांस्कृमिक अमधकार उपभोग गनव पाउने  गरी नेपालको गैरआिासीय नागररकिा  प्रदान गनव सवकनेछ ।"
भाग–२,१५.,,नेपालको नागररकिा  सम्बन्त्धी अन्त्य व्यिस्थाः नेपालको प्रत्येक नागररकको  पररचय खुल्ने  गरी अमभलेख राख्ने िथा नेपालको नागररकिा  सम्बन्त्धी अन्त्य व्यिस्था संघीय कानून  बमोजजम िुनेछ ।    www.lawcommission.gov.np   7
भाग–३,,,मौमलक िक र किवव्य
भाग–३,१६.,,सम्मानपूिवक बाँच्न पाउने िकः
भाग–३,१६.,(१),प्रत्येक व्यजक्तलाई  सम्मानपूिवक बाँच्न पाउने िक  िुनेछ ।
भाग–३,१६.,(२),कसैलाई पमन मृत्युदण्डको सजाय ददने गरी कानून बनाइने छैन ।
भाग–३,१७.,,स्ििन्त्त्रिाको  िकः
भाग–३,१७.,(१),कानून बमोजजम बािेक कुनै पमन व्यजक्तलाई  िैयजक्तक  स्ििन्त्त्रिाबाट  िजिि गररने छैन ।
भाग–३,१७.,(२),"प्रत्येक नागररकलाई  देिायको स्ििन्त्त्रिा िुनेछः–   (क)  विचार र अमभव्यजक्तको  स्ििन्त्त्रिा ,  (ख)  विना िाििमियार  शाजन्त्िपूिवक भेला िुने स्ििन्त्त्रिा ,  (ग)   राजनीमिक  दल खोल्ने स्ििन्त्त्रिा ,  (घ)  संघ र संस्था खोल्ने स्ििन्त्त्रिा ,  (ङ)  नेपालको कुनै पमन भागमा आििजािि  र बसोबास गने स्ििन्त्त्रिा ,  (च)  नेपालको कुनै पमन भागमा पेशा, रोजगार गने र उद्योग, व्यापार िथा  व्यिसायको  स्थापना र सिालन गने स्ििन्त्त्रिा ।  िर,"
भाग–३,१७.,(१),"खण्ड (क) को कुनै कुराले नेपालको सािवभौमसत्ता , भौगोमलक  अखण्डिा ,  रावियिा र स्िाधीनिामा  िा संघीय इकाइ िा  विमभन्न जाि, जामि, धमव, सम्प्रदायबीचको  सु–सम्बन्त्धमा खलल  पनेेे, जािीय भेदभाि िा छुिाछूिलाई दुरुत्सािन गने,  श्रमप्रमि अििेलना गने, गाली बेइज्जिी, अदालिको  अििेलना  िुने, अपराध गनव  दुरुत्सािन गने िा सािवजमनक  जशिाचार िा  नैमिकिाको प्रमिकूल िुने कायवमा मनामसब प्रमिबन्त्ध लगाउने  गरी ऐन बनाउन रोक लगाएको मामनने छैन ।"
भाग–३,१७.,(२),"खण्ड (ख) को कुनै कुराले नेपालको सािवभौमसत्ता , भौगोमलक  अखण्डिा , रावियिा र स्िाधीनिा , संघीय इकाइबीचको  सु– सम्बन्त्ध िा सािवजमनक  शाजन्त्ि र व्यिस्थामा  खलल पने  कायवमा मनामसब प्रमिबन्त्ध लगाउने गरी ऐन बनाउन रोक  लगाएको मामनने  छैन । www.lawcommission.gov.np   8"
भाग–३,१७.,(३),"खण्ड (ग) को कुनै कुराले नेपालको सािवभौमसत्ता , भौगोमलक  अखण्डिा ,  रावियिा र स्िाधीनिामा  खलल पने, रािको विरुद्ध  जासूसी गने, राविय गोपनीयिा  भंग गने िा नेपालको सुरक्षामा  आँच पु¥याउने गरी कुनै विदेशी राज्य, संगठन िा  प्रमिमनमधलाई  सियोग गने िा राज्यरोि गने िा संघीय  इकाइबीचको  सु–सम्बन्त्धमा खलल पने िा जािीय िा  साम्प्रदावयक  विद्वेर् फैलाउने िा विमभन्न जाि, जामि, धमव र  सम्प्रदायबीचको  सु–सम्बन्त्धमा खलल पने िा केिल जामि,  भार्ा, धमव, सम्प्रदाय िा मलंगको आधारमा कुनै राजनीमिक   दलको सदस्यिा प्राप्त गने िा बन्त्देज लगाउने िा  नागररकिरूबीच  विभेद गने गरी राजनीमिक  दल गठन गने,  विंसात्मक कायव गनव दुरुत्सािन गने िा सािवजमनक   नैमिकिाको प्रमिकूल िुने कार्र्यवमा मनामसब प्रमिबन्त्ध लगाउने  गरी ऐन बनाउन रोक लगाएको मामनने   छैन ।"
भाग–३,१७.,(४),"खण्ड (घ) को कुनै कुराले नेपालको सािवभौमसत्ता , भौगोमलक  अखण्डिा , रावियिा र स्िाधीनिामा  खलल पने, रािको विरुद्ध  जासूसी गने, राविय गोपनीयिा  भंग गने िा नेपालको सुरक्षामा  आँच पुयावउने गरी कुनै विदेशी राज्य, संगठन िा प्रमिमनमधलाई   सियोग गने, राज्यरोि गने िा संघीय इकाइबीचको  सु– सम्बन्त्धमा खलल पने िा जािीय िा साम्प्रदावयक  विद्वेर्  फैलाउने िा विमभन्न जाि, जामि, धमव र सम्प्रदायबीचको  सु– सम्बन्त्धमा खलल पने िा विंसात्मक कायव गनव दुरुत्सािन गने  िा सािवजमनक  नैमिकिाको प्रमिकूल िुने कायवमा मनामसब  प्रमिबन्त्ध लगाउने गरी ऐन बनाउन रोक लगाएको मामनने   छैन ।"
भाग–३,१७.,(५),"खण्ड (ङ) को कुनै कुराले सिवसाधारण  जनिाको विि िा  संघीय इकाइबीचको  सु–सम्बन्त्ध िा विमभन्न जाि, जामि, धमव  िा सम्प्रदायिरूका  बीचको सु–सम्बन्त्धमा खलल पने िा  विंसात्मक कायव गने िा त्यस्िो कायव गनव दुरुत्सािन गने www.lawcommission.gov.np   9   कायवमा मनामसब प्रमिबन्त्ध लगाउने गरी ऐन बनाउन रोक  लगाएको मामनने  छैन ।"
भाग–३,१७.,(६),"खण्ड (च) को कुनै कुराले संघीय इकाइबीचको  सु– सम्बन्त्धमा खलल पु¥याउने कायव िा सिवसाधारण  जनिाको  सािवजमनक  स्िास््य , जशिाचार िा नैमिकिाको प्रमिकूल िुने  कायवमा रोक लगाउने िा कुनै खास उद्योग, व्यापार िा सेिा  राज्यले मात्र सिालन गनव पाउने िा कुनै पेशा, रोजगार ,  उद्योग, व्यापार िा व्यिसाय गनवका लामग कुनै शिव िा  योग्यिा िोक्ने गरी ऐन बनाउन रोक लगाएको मामनने    छैन ।"
भाग–३,१८.,,समानिाको  िकः
भाग–३,१८.,(१),सबै नागररक कानूनको दृविमा समान िुनेछन् । कसैलाई पमन  कानूनको समान संरक्षणबाट िजिि गररने छैन ।
भाग–३,१८.,(२),"सामान्त्य कानूनको प्रयोगमा उत्पजत्त , धमव, िणव, जाि, जामि, मलंग, शारीररक  अिस्था , अपांगिा , स्िास््य जस्थमि, िैिाविक जस्थमि, गभाविस्था , आमथवक अिस्था , भार्ा िा  क्षेत्र, िैचाररक आस्था िा यस्िै अन्त्य कुनै आधारमा भेदभाि गररने छैन ।"
भाग–३,१८.,(३),"राज्यले नागररकिरूका  बीच उत्पजत्त , धमव, िणव, जाि, जामि, मलंग, आमथवक  अिस्था , भार्ा, क्षेत्र, िैचाररक आस्था िा यस्िै अन्त्य कुनै आधारमा भेदभाि गने छैन ।  िर सामाजजक िा सांस्कृमिक दृविले वपछमडएका  मविला, दमलि, आददिासी ,  आददिासी जनजामि , मधेशी, थारू, मुजस्लम, उत्पीमडि िगव, वपछडा िगव, अल्पसंख्यक,  सीमान्त्िीकृि, वकसान , श्रममक , युिा, बालबामलका , ज्येष्ठ नागररक , लैंमगक िथा यौमनक  अल्पसंख्यक, अपांगिा भएका व्यजक्त, गभाविस्थाका  व्यजक्त, अशक्त िा असिाय , वपछमडएको   क्षेत्र र आमथवक रूपले विपन्न खस आयव लगायि नागररकको  संरक्षण, सशक्तीकरण  िा  विकासका लामग कानून बमोजजम विशेर् व्यिस्था गनव रोक लगाएको मामनने छैन ।  स्पिीकरणः  यस भाग र भाग ४ को प्रयोजनका  लामग “आमथवक रूपले विपन्न” भन्नाले  संघीय कानूनमा िोवकएको आयभन्त्दा कम आय भएको व्यजक्त सम्िनु पछव ।"
भाग–३,१८.,(४),समान कामका लामग लैंमगक आधारमा पाररश्रममक  िथा सामाजजक सुरक्षामा  कुनै भेदभाि गररने छैन ।
भाग–३,१८.,(५),पैिृक सम्पजत्तमा लैंमगक भेदभाि विना सबै सन्त्िानको समान िक िुनेछ ।  www.lawcommission.gov.np   10
भाग–३,१९.,,सिारको िकः
भाग–३,१९.,(१),"विद्युिीय प्रकाशन , प्रसारण िथा छापा लगायिका  जुनसुकै माध्यमबाट   कुनै समाचार , सम्पादकीय , लेख, रचना िा अन्त्य कुनै पाठ्य, श्रव्य, श्रव्यदृश्य सामग्रीको  प्रकाशन िथा प्रसारण गनव िा सूचना प्रिाि गनव िा छाप्न पूिव प्रमिबन्त्ध लगाइने छैन ।  िर नेपालको सािवभौमसत्ता , भौगोमलक अखण्डिा , रावियिा िा संघीय इकाइबीचको   सु–सम्बन्त्ध िा विमभन्न जाि, जामि, धमव िा सम्प्रदाय बीचको सु–सम्बन्त्धमा  खलल पने,  राज्यरोि , गाली बेइज्जिी िा अदालिको  अििेलना िुने िा अपराध गनव दुरुत्सािन गने  िा सािवजमनक जशिाचार , नैमिकिाको प्रमिकूल कायव गने, श्रमप्रमि अििेलना गने र जािीय  छुिाछूि एिं लैंमगक भेदभािलाई दुरुत्सािन गने कायवमा मनामसब प्रमिबन्त्ध लगाउने गरी  ऐन बनाउन रोक लगाएको मामनने छैन ।"
भाग–३,१९.,(२),"कुनै श्रव्य, श्रव्यदृश्य िा विद्युिीय उपकरणको  माध्यम िा छापाखानाबाट   कुनै समाचार , लेख, सम्पादकीय , रचना, सूचना िा अन्त्य कुनै सामग्री मुरण िा प्रकाशन ,  प्रसारण गरे िा छापे बापि त्यस्िो सामग्री प्रकाशन , प्रसारण गने िा छाप्ने रेमडयो,  टेमलमभजन, अनलाइन िा अन्त्य कुनै वकमसमको मडजजटल िा विद्युिीय उपकरण , छापा िा  अन्त्य सिार माध्यमलाई  बन्त्द, जफि िा दिाव खारेज िा त्यस्िो सामग्री जफि गररने   छैन ।  िर यस उपधारामा  लेजखएको कुनै कुराले रेमडयो, टेमलमभजन, अनलाइन िा अन्त्य  कुनै वकमसमको मडजजटल िा विद्युिीय उपकरण , छापाखाना  िा अन्त्य सिार माध्यमको   मनयमन गनव ऐन बनाउन बन्त्देज लगाएको मामनने छैन ।"
भाग–३,१९.,(३),"कानून बमोजजम बािेक कुनै छापा, विद्युिीय प्रसारण िथा टेमलफोन  लगायिका  सिार साधनलाई  अिरुद्ध गररने छैन ।"
भाग–३,२०.,,न्त्याय सम्बन्त्धी िकः
भाग–३,२०.,(१),कुनै पमन व्यजक्तलाई  पक्राउ भएको कारण सवििको सूचना  नददई थुनामा राजखने  छैन ।
भाग–३,२०.,(२),पक्राउमा परेका व्यजक्तलाई  पक्राउ परेको समयदेजख नै आपूmले रोजेको  कानून व्यिसायीसँग सल्लाि मलन पाउने िथा कानून व्यिसायीद्वारा  पुपवक्ष गने िक   िुनेछ । त्यस्िो व्यजक्तले आफ्नो कानून व्यिसायीसँग गरेको परामशव र मनजले ददएको  सल्लाि गोप्य रिनेछ ।  िर शत्रु देशको नागररकको  िकमा यो उपधारा लागू िुने छैन । www.lawcommission.gov.np   11   स्पिीकरणः  यस उपधाराको  प्रयोजनका  लामग “कानून व्यिसायी” भन्नाले कुनै अड्डा  अदालिमा  कुनै व्यजक्तको प्रमिमनमधत्ि  गनव कानूनले अमधकार ददएको व्यजक्त सम्िनु    पछव ।
भाग–३,२०.,(३),पक्राउ गररएको व्यजक्तलाई  पक्राउ भएको समय िथा स्थानबाट बाटोको  म्याद बािेक चौबीस घण्टामभत्र मुद्दा िेने अमधकारी समक्ष उपजस्थि गराउनु पनेछ र  त्यस्िो अमधकारीबाट  आदेश भएमा बािेक पक्राउ भएको व्यजक्तलाई  थुनामा राजखने    छैन ।  िर मनिारक नजरबन्त्दमा  राजखएका व्यजक्त र शत्रु देशको नागररकको  िकमा यो  उपधारा लागू िुने छैन ।
भाग–३,२०.,(४),ित्काल प्रचमलि कानूनले सजाय निुने कुनै काम गरे बापि कुनै व्यजक्त  सजायभागी  िुने छैन र कुनै पमन व्यजक्तलाई  कसूर गदावको अिस्थामा कानूनमा  िोवकएभन्त्दा  बढी सजाय ददइने छैन ।
भाग–३,२०.,(५),कुनै अमभयोग लागेको व्यजक्तलाई  मनजले गरेको कसूर प्रमाजणि नभएसम्म  कसूरदार मामनने छैन ।
भाग–३,२०.,(६),कुनै पमन व्यजक्त विरुद्ध अदालिमा  एकै कसूरमा एक पटकभन्त्दा  बढी मुद्दा  चलाइने र सजाय ददइने छैन ।
भाग–३,२०.,(७),कुनै कसूरको अमभयोग लागेको व्यजक्तलाई  आफ्नो विरुद्ध साक्षी िुन बाध्य  पाररने छैन ।
भाग–३,२०.,(८),प्रत्येक व्यजक्तलाई  मनज विरुद्ध गररएको कारबािीको  जानकारी पाउने िक  िुनेछ ।
भाग–३,२०.,(९),"प्रत्येक व्यजक्तलाई स्ििन्त्त्र , मनष्पक्ष र सक्षम अदालि िा न्त्यावयक  मनकायबाट  स्िच्छ सुनुिाइको िक िुनेछ ।"
भाग–३,२०.,(१०),असमथव पक्षलाई कानून बमोजजम मनःशुल्क कानूनी सिायिा पाउने िक  िुनेछ ।
भाग–३,२१.,,अपराध पीमडिको िकः
भाग–३,२१.,(१),अपराध पीमडिलाई  आफू पीमडि भएको मुद्दाको अनुसन्त्धान  िथा कारबािी सम्बन्त्धी जानकारी पाउने िक िुनेछ ।
भाग–३,२१.,(२),अपराध पीमडिलाई  कानून बमोजजम सामाजजक पुनःस्थापना र क्षमिपूमिव  सवििको न्त्याय पाउने िक िुनेछ । www.lawcommission.gov.np   12
भाग–३,२२.,,यािना विरुद्धको िकः
भाग–३,२२.,(१),"पक्राउ परेको िा थुनामा रिेको व्यजक्तलाई  शारीररक िा  मानमसक यािना ददइने िा मनजसँग मनमवम, अमानिीय िा अपमानजनक व्यििार गररने  छैन ।"
भाग–३,२२.,(२),उपधारा
भाग–३,२२.,(१),बमोजजमको  कायव कानून बमोजजम दण्डनीय िुनेछ र त्यस्िो  व्यििारबाट  पीमडि व्यजक्तलाई  कानून बमोजजम क्षमिपूमिव पाउने िक िुनेछ ।
भाग–३,२३.,,मनिारक नजरबन्त्द विरुद्धको िकः
भाग–३,२३.,(१),"नेपालको सािवभौमसत्ता , भौगोमलक अखण्डिा िा  सािवजमनक  शाजन्त्ि र व्यिस्थामा  ित्काल खलल पने पयावप्त आधार नभई कसैलाई पमन  मनिारक नजरबन्त्दमा  राजखने छैन ।"
भाग–३,२३.,(२),उपधारा
भाग–३,२३.,(१),बमोजजम मनिारक नजरबन्त्दमा  रिेको व्यजक्तका जस्थमिको  बारेमा मनजको पररिारका सदस्य िा नजजकको नािेदारलाई कानून बमोजजम ित्काल  जानकारी ददनु पनेछ ।  िर शत्रु देशको नागररकका  िकमा यो उपधारा लागू िुने छैन ।
भाग–३,२३.,(३),मनिारक नजरबन्त्दमा  राख्ने अमधकारीले कानून विपरीि िा बदमनयिपूिवक  कुनै व्यजक्तलाई  नजरबन्त्दमा  राखेमा त्यस्िो व्यजक्तलाई  कानून बमोजजम क्षमिपूमिव पाउने  िक िुनेछ ।
भाग–३,२४.,,छुिाछूि िथा भेदभाि विरुद्धको िकः
भाग–३,२४.,(१),"कुनै पमन व्यजक्तलाई  मनजको उत्पजत्त , जाि,  जामि, समुदाय, पेशा, व्यिसाय िा शारीररक अिस्थाको  आधारमा कुनै पमन मनजी िथा  सािवजमनक  स्थानमा कुनै प्रकारको छुिाछूि िा भेदभाि गररने छैन ।"
भाग–३,२४.,(२),"कुनै िस्िु, सेिा िा सुविधा उत्पादन िा वििरण गदाव त्यस्िो िस्िु, सेिा िा  सुविधा कुनै खास जाि िा जामिको व्यजक्तलाई  खरीद िा प्राप्त गनवबाट रोक लगाइने िा  त्यस्िो िस्िु, सेिा िा सुविधा कुनै खास जाि िा जामिको व्यजक्तलाई  मात्र मबक्री वििरण  िा प्रदान गररने   छैन ।"
भाग–३,२४.,(३),"उत्पजत्त , जाि, जामि िा शारीररक अिस्थाको  आधारमा कुनै व्यजक्त िा  समुदायलाई उच्च िा नीच दशावउने, जाि, जामि िा छुिाछूिको आधारमा सामाजजक  भेदभािलाई न्त्यायोजचि ठान्ने िा छुिाछूि िथा जािीय उच्चिा िा घृणामा आधाररि  विचारको प्रचार प्रसार गनव िा जािीय विभेदलाई कुनै पमन वकमसमले प्रोत्सािन गनव पाइने  छैन ।"
भाग–३,२४.,(४),जािीय आधारमा छुिाछूि गरी िा नगरी कायवस्थलमा कुनै प्रकारको भेदभाि  गनव पाइने छैन । www.lawcommission.gov.np   13
भाग–३,२४.,(५),यस धाराको प्रमिकूल िुने गरी भएका सबै प्रकारका छुिाछूि िथा  भेदभािजन्त्य कायव गम्भीर सामाजजक अपराधका  रूपमा कानून बमोजजम दण्डनीय िुनेछन्  र त्यस्िो कायवबाट पीमडि व्यजक्तलाई  कानून बमोजजम क्षमिपूमिव पाउने िक िुनेछ ।
भाग–३,२५.,,सम्पजत्तको िकः
भाग–३,२५.,(१),"प्रत्येक नागररकलाई  कानूनको अधीनमा रिी सम्पजत्त आजवन गने,  भोग गने, बेचमबखन गने, व्यािसावयक  लाभ प्राप्त गने र सम्पजत्तको अन्त्य कारोबार गने  िक िुनेछ ।  िर राज्यले व्यजक्तको सम्पजत्तमा कर लगाउन र प्रगमिशील  करको मान्त्यिा  अनुरूप व्यजक्तको आयमा कर लगाउन सक्नेछ ।   स्पिीकरणः  यस धाराको प्रयोजनका  लामग “सम्पजत्त” भन्नाले चल अचल लगायि सबै  प्रकारको सम्पजत्त सम्िनु पछव र सो शब्दले बौवद्धक सम्पजत्त समेिलाई जनाउँछ ।"
भाग–३,२५.,(२),"सािवजमनक  वििका लामग बािेक राज्यले कुनै व्यजक्तको सम्पजत्त अमधग्रिण  गने, प्राप्त गने िा त्यस्िो सम्पजत्त उपर अरु कुनै प्रकारले कुनै अमधकारको  मसजवना गने  छैन ।  िर कुनै पमन व्यजक्तले गैरकानूनी रूपले आजवन गरेको सम्पजत्तको िकमा यो  उपधारा लागू िुने छैन ।"
भाग–३,२५.,(३),उपधारा
भाग–३,२५.,(२),बमोजजम सािवजमनक  वििका लामग राज्यले कुनै पमन व्यजक्तको  सम्पजत्त अमधग्रिण गदाव क्षमिपूमिवको आधार र कायवप्रणाली  ऐन बमोजजम िुनेछ ।
